21995886,대일공구,D,소매,D21,철물/난방/건설자재소매,D21A06,철물/건설자재소매,세종특별자치시 세종특별자치시 조치원읍 정리 87-13,세종특별자치시 세종특별자치시 조치원읍 새내로 90-1,339882,30027,127.2985524,36.59991993
22463784,모애선교아가방,D,소매,D11,유아용품,D11A03,유아용품판매,세종특별자치시 세종특별자치시 조치원읍 침산리 89,세종특별자치시 세종특별자치시 조치원읍 충현로 159,339752,30021,127.2941772,36.60292216
22944212,비알디백록담숯불바베큐치킨,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,세종특별자치시 세종특별자치시 조치원읍 침산리 264-1,세종특별자치시 세종특별자치시 조치원읍 행복4길 14,339887,30021,127.2914037,36.60431158
25346753,문주힐링헤어,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,세종특별자치시 세종특별자치시 조치원읍 상리 18-9,세종특별자치시 세종특별자치시 조치원읍 조치원로 61-1,339881,30025,127.3032555,36.60267818
2932468,대한민국세종시약속의땅부동산,L,부동산,L01,부동산중개,L01A01,부동산중개,세종특별자치시 세종특별자치시 조치원읍 번암리 137-4,세종특별자치시 세종특별자치시 조치원읍 번암안동네길 6,339804,30040,127.2924226,36.58331049
3003117,로또판매점,D,소매,D25,기타판매업,D25A02,복권판매,세종특별자치시 세종특별자치시 조치원읍 침산리 269-9,세종특별자치시 세종특별자치시 조치원읍 행복길 11,339887,30021,127.2909982,36.60342599
2976236,털보정육점,D,소매,D01,음/식료품소매,D01A03,정육점,세종특별자치시 세종특별자치시 조치원읍 원리 5-3,세종특별자치시 세종특별자치시 조치원읍 조치원6길 13-2,339883,30027,127.2996844,36.60080977
25587117,수학교습소,R,학문/교육,R09,학원기타,R09A01,학원(종합),세종특별자치시 세종특별자치시 조치원읍 교리 14-12,세종특별자치시 세종특별자치시 조치원읍 새내로 133,339801,30023,127.2973329,36.60375189
2891988,원조명,D,소매,D07,가정/주방/인테리어,D07A10,조명기구/전기용품,세종특별자치시 세종특별자치시 조치원읍 교리 10-7,세종특별자치시 세종특별자치시 조치원읍 새내로 136,339801,30024,127.2977996,36.60406105
22967310,삼일세탁소,F,생활서비스,F02,세탁/가사서비스,F02A01,세탁소/빨래방,세종특별자치시 세종특별자치시 조치원읍 죽림리 21-2,세종특별자치시 세종특별자치시 조치원읍 충현로 72,339884,30034,127.2971306,36.59525231
22905667,성씨네분식,Q,음식,Q04,분식,Q04A01,라면김밥분식,세종특별자치시 세종특별자치시 조치원읍 원리 5-5,세종특별자치시 세종특별자치시 조치원읍 조치원6길 13-6,339883,30027,127.2998518,36.60083779
23507548,울랄라,N,관광/여가/오락,N02,무도/유흥/가무,N02A01,노래방,세종특별자치시 세종특별자치시 조치원읍 원리 9-24,세종특별자치시 세종특별자치시 조치원읍 조치원1길 10,339883,30023,127.297509,36.60159003
23205270,이수근의092,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,세종특별자치시 세종특별자치시 조치원읍 침산리 260-1,세종특별자치시 세종특별자치시 조치원읍 행복12길 5-12,339887,30021,127.2930673,36.60451972
23205499,비어존,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,세종특별자치시 세종특별자치시 조치원읍 침산리 253-2,세종특별자치시 세종특별자치시 조치원읍 행복5길 27-5,339887,30021,127.2926674,36.60546362
25148822,정해옥숱이나숍,D,소매,D16,화장품소매,D16A01,화장품판매점,세종특별자치시 세종특별자치시 조치원읍 정리 87-8,세종특별자치시 세종특별자치시 조치원읍 새내로 5-1,339882,30027,127.2988016,36.59956092
